𒀸,h,aš,aš dili didli,ina
𒄬,h-h,hal,hal,
𒉾,h-h-hhhd-vd-v-v-v-u-d-d,,peš2,
𒁄,h-h-d-v-h-dd,bal pal,bal,
𒋓,h-h-dd-hhhh-d,šir,nu11 sir4 šir,
𒄈,h-h-dd-v-v-v h-h-dd-v-v-v,,gir2 ul4,
𒋻,h-h-d d-dv h-h-d,tar haš,ku5 kud tar,
𒀭,h-h-v,an,an dingir,
𒀳,h-hh-h-v h-h-hh-v,,apin engar,
𒈤,h-hh-h-v-vd-d h-h-d-d-v-v-vd-d h-hhh-vd-vd,mah,mah,
𒉡,h-d,nu,nu,
𒆰,h-d-dd h-d-dd,kul,kul numun,
𒁁,h-d,pat2 pad2 pid2 pit2 pe3 pi3,bad be sumun sun til uš2,
𒁴,h-dd-u-d-v h-h-d-d-d-v-u,dim tim,,
𒈾,h-d-d-v,na,na,
𒀴,h-dd-d-v,,ir3 arad nita2 nitah2,
𒈬,h-dd-dd,mu,mu muhaldim,
𒁵,h-d-d-d-ddd-d-d-v-v h-h-dd-d-dd-du,,mun,
𒈜,h-d-d-dd-d-dvu h-d-d-dd-vv-u-d h-h-d-d-dd-d-vv-u-d,,nar,
𒁇,h-v,par2 bar maš,ban2 bar ma mašda2,mas
𒋡,h-v h-d-v,qa ga5 ka4,sil2 sila3 sagi,
𒈮,h-dvu,,mug,
𒍚,h-v-u-d-d-d,,uz6,
𒄷,h-v-d-v,hu,mušen,bag bak baq
[25],h-v-d-v-h-vd-v,,u5,u5
[26],h-v-d-v-d-d-dd,mut,mud,mud mut muṭ
[27],h-v-dv-vv-v,,se24 sed3 še12
š
